,0
77,"California Redevelopment Agencies require Davis to sell Historic City Hall
The City of Davis must sell its Historic City Hall due to a statewide call for cities to dissolve any properties formerly funded by the Redevelopment Agency (RDA), which dissolved in February of 2012. The state hopes to return the property taxes to public agencies within Davis, such as the Davis Joint Unified School District or Yolo County services. 
California has distributed money to revitalizing broken-down cities, and, while some cities desperately needed the funds, cities like Davis used them for less dire projects. The city chose to invest in properties like the Historic City Hall, the U.S. Bicycling Hall of Fame, the Dresbach-Hunt Boyer Mansion and the parking garage above the Regal Holiday Cinema.
The state wanted [the money given to the cities by the RDA] back so we are complying with the states orders, said Brett Lee, Davis city councilmember. We are going to put it out on the open market and see who bids for it.
The state looked through all of the properties that stemmed from finances provided by the RDA and allowed for cities to retain ownership of properties that still serve public and/or government use. 
Davis Historic City Hall, however, now houses a restaurant and bar, which does not necessarily serve any type of public service. As a result, the state now requires that Davis put the property on the open market.
Davis has initiated the early stages of marketing for its historic city hall, said Stacey Winton, a City of Davis media and communications officer. Located at 226 F. St., the vacant building has not been used for city affairs but contains a restaurant, Bistro 33, in both the building and outside patio. 
Despite losing ownership of the property, the city will gain access to bond funds from the state once it is sold. Once the real estate has been dissolved, the city will also receive 21 percent of the proceeds, with 33.5 percent going to the Davis Joint Unified School District, 25 percent to the county Educational Revenue Augmentation Fund and the remainder to be dispersed among various organizations like the Yolo County Library and the Davis Cemetery District.
That process is now underway with the city looking to hire a commercial broker by this spring. While the new owner will gain rights to the property, the building is deemed a historical landmark. Therefore, no major structural changes can be made without first consulting the council and the citys Historic Resource Management Commission.
While there hasnt been an official appraisal of the property, the council estimates its value to be about $2.3 million. This number is too high for the City of Davis to consider investing in the property, according to city officials. 
Mayor Robb Davis noted that the city will not seek to obtain the building. Although the decision and process has been difficult for the city, there are limited options. The building will remain in the public sphere and will continue to be valued as a historical space and part of the citys history. "
78,"Davis residents show solidarity in wake of travel ban, vandalism
On his seventh day in office, when President Trump signed his thirteenth executive order which imposes an immigration ban on seven predominantly Muslim nations, Muslims and non-Muslims alike across the U.S. cried out against the order.
Of the 37 percent of Davis residents that consider themselves religious, roughly 2.3 percent of permanent residents are of the Islamic faith, in addition to the large portion of Muslim students attending UC Davis. As a result of the diversity at UC Davis beyond the considerable Muslim population, a long-standing tradition of activism on campus and around the community has developed. The recent election has already had an effect on students and residents of Davis, who seem to have readied themselves for the new administrations list of policies by vocalizing possible concerns that may arise in the next four years.
In light of the Executive Order barring residents of Iraq, Syria, Iran, Libya, Somalia, Sudan and Yemen, Davis has responded with solidarity which speaks volumes. 
I have noticed an outpour of support for the Muslim community, said Noreen Mansuri, a third-year neurology, physiology and behavior major and a Muslim student and activist.
In the wake of a hate crime at the Islamic Center of Davis, hundreds of members of the Davis community gathered in Central Park to show their support of the Muslim community. Signs and banners have been hung in front of the Islamic Center, covered in signatures from numerous members of the community and reading we support you.
I do not think there is as much detachment as there has been before, Mansuri said. There is no longer this predominating attitude that, well, it does not directly affect me, so I do not really have an opinion.
Almost $20,000 was donated to the Islamic Center via an online Kickstarter to help compensate for broken windows, destroyed bicycles and door handles wrapped in raw bacon. Several organizations have offered rewards of over $1,000 in return for the identity of the vandal.
Interim Chancellor Ralph J. Hexter released a joint statement responding to the incident with Mayor Robb Davis and Student Affairs Vice Chancellor Adela de la Torre which stated, UC Davis and the City of Davis are home to people of the Muslim faith from around the world. Each one enriches our lives and brings new perspectives to our community. We will continue our work to support and protect them and to stand against those seeking to sow fear. 
Although support for the Muslim community continues, there is still no shortage of negativity, according to Mansuri.
There is still a lot of hateful sentiment, Mansuri said. This weekend I received an alert that a box of pork tenderloins was left outside of an apartment known to be home to Muslim students.
On Feb. 3, a federal judge issued a suspension on the order after the Attorney General in Washington state challenged the order. A request to reinstate the travel ban was blocked twice within a week afterward in San Francisco and Washington State. President Trump responded in a series of tweets and Facebook statements criticizing the appeals. 
The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned, Trump tweeted, following the initial freeze of the travel ban.
On Feb. 10, the president was also quoted saying that he plans to file a new executive order with very little changes.
Despite the actions taken by the President, students and residents urge each other to remain informed and ready to support those affected by new developments. Mansuri urges nonmuslims to reach out to their muslim friends in this time of need."
79,"CalRecycle donates $197,851
The City of Davis will soon have new recycling bins throughout town thanks to a $197,851 grant awarded by the State Department of Resources, Recycling and Recovery (CalRecycle). 
The funds will be used to purchase new recycling bins for the Downtown core area, parks and greenbelts and to purchase a few solar compacting trash/recycling units, said Jennifer Gilbert, conservation coordinator for the City of Davis Public Works Department in an email interview. 
With new bins, waste overflow and crew maintenance will be reduced. Currently, many of the existing bins lack clear labeling and are too small to allow items to be placed inside, causing bins downtown to regularly overflow with waste. Because of the excessive amount of waste production, park crews spend hours each day managing this waste issue.
Our parks crews spend 5 hours a day, 7 days a week emptying bins from Downtown Davis. Within hours of the bins being emptied, they are overflowing again, Gilbert said. 
To help relieve crew workers and reduce waste production in the city, Gilbert suggested that residents divert personal waste into recycling and organics bins at home and at work. 
In downtown Davis, the new grant funds will also go toward solar powered bins. Solar powered bins crush waste to reduce overflow and, once full, alert the city through a messaging system that the bins can be emptied. It is grant funds like these from CalRecycle that make purchasing new and innovative waste solutions a possibility in Davis and throughout the state. 
Each year, CalRecycle, a department within the California Environmental Protection Agency that oversees waste handling and recycling programs, is able to award grants to hundreds of public and private entities throughout the state. 
According to the CalRecycle website, During the 2016-2017 Fiscal Year, 172 grants were awarded totalling up to $36,926,744. 
Gilbert said that in the future, if the recycling program receives more grant money, they will allocate more funds toward dedicated outreach. 
Members of the campus community are also working hard to address waste reduction and waste production. The Waste Reduction and Recycling program, coordinated through the Office of Environmental Stewardship and Sustainability, wants to help the campus reach its zero waste goal of diverting trash from landfills by 2020. 
In the last fiscal year, UC Davis had a 73% diversion rate, 4th among other UC campuses. We need to improve our diversion rate as the goal approaches, but we need everyone to help, said Sue Vang, program manager for Waste Reduction and Recycling in an email interview."
80,"The world is a weird place
Feb. 6
Chronic phone problem.

Feb. 7
Person not making any sense. May be due to intoxication.

Feb. 8
Recorded phone call from male that asked multiple questions about massages.

Feb. 8
Sedan occupied by male with female in passenger seat bent over in his lap.

Feb. 10
Resident sounds like shes dropping a heavy item repeatedly onto the floor for the past several minutes.

Feb. 10
Four outdoor ATM machines appeared to have white soapy powder and water sprayed directly into card reader.

Feb. 11"
81,"Mayor Robb Davis reaffirms that the City of Davis will not make any policy changes
President Donald Trump signed an executive order on Jan. 25 threatening to withhold federal funds from cities and counties designated as sanctuary jurisdictions. Sanctuary jurisdiction is a loosely-defined term used to denote cities and counties that choose to limit their cooperation with federal immigration agencies.
The controversial executive order, titled Enhancing Public Safety in the Interior of the United States, was met with immediate opposition. Many sanctuary cities have publicly stated that they will not change their policies.
The City of Davis has been a sanctuary city since 1986, and Mayor Robb Davis recently reaffirmed that the city will not change its policies or status. Other notable sanctuary cities include New York City, Chicago, Seattle, Los Angeles and San Francisco.
Davis explained that the City of Davis sanctuary policy is simple: police do not, under any circumstance, inquire about immigration status.
The police will not ask, seek to know, or record someones [immigration] status in any interaction [] This is something that weve done, as many other cities have, to encourage trust in the police so that if something happens to someone, theyre not fearful of contacting the police, Davis said. 
Davis believes that President Trumps executive order will make cities less safe.
Imagine if youre someone who is brought to this country, and youve been trafficked and youre not here legally. Are you going to contact the police to save yourself? Maybe not. So I believe that this action [Trumps executive order] will make cities less safe because people who are victims of crimes will not come forward, Davis said.
According to Davis, the City of Davis is not breaking any laws in reaffirming its sanctuary city status and refusing to change its policies.
Our police chief [and] our city attorney have stated unambiguously that we are following all state and federal laws and the Constitution by acting the way were acting, Davis said. We dont have any concerns about the administrations threats [] the Trump Administration is absolutely just blowing smoke. Were not in a position where were going to be acquiescing simply because the president says we need to be an enforcement arm of immigration.
Andrew Casas, a second-year English major, disagrees with Davis affirmation of sanctuary city status. He believes it contributes to division and polarization within the American political system.
Whether you like Donald Trump or whether you dislike Donald Trump, hes the President of the United States. Its the same thing that happened with Barack Obama when the Republicans were in Congress; he was trying to do his best and people just kind of screwed him over with no, were not going to pass any of his bills [] We should be working with the president to do our best to make the best America possible, Casas said.
Jessica Angel-Gonzalez, a fifth-year animal science major at UC Davis, agrees with Davis stance on sanctuary city policies. She does not believe that anyone should be questioned about their immigration status by police if they are not breaking the law.
For somebody to come around asking random questions like Hey, are you a citizen here? Its kind of none of their business. If theyre doing nothing wrong, then it shouldnt be right for someone to [have to] show documentation. Im completely against what Trump is trying to do with defunding the cities [] I think Davis is doing a good job by keeping this a sanctuary city, Angel-Gonzalez said.
Sanctuary city policies protect undocumented immigrants from city and county law enforcement agencies, but they do not offer protection from federal law enforcement agencies. On Feb. 5, an undocumented immigrant living in Davis was arrested by Immigration and Customs Enforcement.
The individual in question had visited the Davis DMV office a few days prior to pay a ticket and apply for an Assembly Bill #60 drivers license. AB #60, signed into California law by Governor Jerry Brown in 2013, makes it possible for someone to receive a California drivers license without proof of legal residence. 
The undocumented individual had multiple arrest warrants, and his AB #60 application prompted Immigration and Customs Enforcement to arrest him at his home a few days later.
The legality of President Trumps executive order remains to be determined by the judicial system. Several sanctuary cities, including San Francisco, have filed lawsuits against the Trump administration over the order."
82,"Davis resident Lauren Kirk-Coehlo arrested in connection with hate crime
Police arrested a Lauren Kirk-Coehlo, resident of Davis and graduate of Davis High School, on the morning of Feb. 14 as suspect in the Islamic Center of Davis vandalism case, which investigators and state and federal prosecutors have labeled a hate crime. The arrest comes after nearly a month of joint investigation by the Davis Police Department (DPD) and the FBI. 
The UC Davis issued a crime alert soon after the arrest stating, Soon after the crime was reported, and the surveillance footage was released, the Police Department received numerous tips regarding the vandalism. 
Kirk-Coehlo is currently booked in the Yolo County jail for felony vandalism with hate crime enhancement. The suspect faces up to six year in prison if she is convicted, and bail has been set at $1 million. Kirk-Coelhos arraignment hearing is set for Feb. 16 at 1:30 p.m. 
The vandalism of the Islamic Center occurred on the morning of Jan. 22 during which an estimated $7,000 worth of damage was inflicted. The incident was caught on a surveillance camera from the mosque. 
Video footage shows a female suspect smashing six window panes and placing something on the exterior door handle of the Islamic Center of Davis. It was later determined that strips of bacon were placed on the door handle, said Jonathan Raven, chief deputy district attorney in a press release.
Shortly after the footage was released, The Sacramento Valley chapter of the Council on American-Islamic Relations (CAIR-SV) called on state and federal law enforcement to investigate the motive behind the vandalism. 
Political, religious or ideological beliefs are not an excuse to commit hate crimes, said Monica Miller, special agent in charge of the Sacramento FBI office in an interview with the Sacramento Bee after the arrest. 
 Members of the mosque have since rallied together, and with help from the Davis community, raised $20,000 dollars for repairs. "
83,"Davis residents create financial model to make citys financial state more transparent
To increase transparency between the citys financial situation and the community, three residents created a model called Project Toto which aims to improve how the city communicates its finances in an easily accessible design. 
Jeff Miller and Matt Williams, who are members of Davis Finance and Budget Commission, joined together with Davis entrepreneur Bob Fung to create the model plan to bring the project to the Finance and Budget Commission in February, according to Kelly Stachowicz, assistant city manager. 
City staff appreciate the efforts that have gone into this, and the interest in trying to look at the citys potential financial position over the long term, Stachowicz said in an email interview. We all have a shared goal to plan for a sound fiscal future with few surprises. We believe the Project Toto effort will mesh well with our other efforts as we build the budget for the next fiscal year and beyond.
Project Toto complements the citys effort to amplify the transparency of city decisions to community members. The aim is to increase the understanding about the citys financial situation and make the information more accessible and easier to understand.
The project is mostly a tool for public education, but can also make predictions about potential decisions regarding the citys financial future. Once completed, the program will allow residents to manipulate variables to see their eventual consequences, such as tax increases or extensions and proposed developments
This really isnt a budget, it is a forecast to see the intervention of these decisions, Williams said in an interview with The Davis Enterprise. What happens if we extend the sales tax? What does it do given the other numbers that are in?
Project Toto enables users, whether it be a curious Davis resident, a concerned community member or a city leader, with the ability to project city finances with differing variables. 
The online program consists of the 400-page city budget for the 2016-2017 fiscal year, the previous budget, staff reports and consultant analyses. All of the documents are cited and accessible to the public within Project Toto.
Its a model that very easily lends itself to visual representation, Mayor Robb Davis said. You can see the impacts of decisions the council makes on the fiscal health of the city.
Complementary to this program, there is also a more advanced version of the model with more in-depth analyses of the citys finances. However, for an easy-to-understand, simplistic overview, Project Toto should be enough to help residents comprehend Davis finances. 
There is still more to do on the project, but its creators are hard at work trying to finalize it before the 2017-2018 fiscal year budget. 
Its something I have been very much supportive of, Davis said. Transparency is not just something that I have been supportive of but something we have stated as a city council objective [] this fits very well with our attempt to inform the public of our challenges with our fiscal situation."
84,"Something smells fishy
Jan. 29

Loud music or TV  reporting party has gone over twice but they keep turning up the volume.
Jan. 30

Static on the line  tried to contact via cell but no answer and unable to leave message  last call advised having phone problems due to tree knocking out phone lines.

Feb. 3

Reporting partys roommate punched the wall to the apartment, was very upset but wont tell why he is so upset parties are separated but in the apartment at this time.
"
85,"Davis Cemetery District hosts fundraiser with potted plants
Who said that Valentines Day is limited to young lovers? This Valentines Day, the Davis Cemetery District will allow friends and family to place orders for potted plants to put on the graves of those who are buried there. 
The fundraiser is a part of a project to continue caring for and restoring the historic community cemetery located at 820 Pole Line Road. 
Ashley Wilson*, a Davis resident whose grandfather is buried at the cemetery, said that she thinks the fundraiser will welcome families to continue thinking of their loved ones and keep them from forgetting about them. 
I like the idea of the fundraiser, Wilson said. I think its a warm gesture. I know for me it reminds me of how much my grandfather liked to give us roses on Valentines Day when I was younger.
Each flowerpot will cost $15 or loved ones can purchase two for $20. On Valentines Day, staff will place the flowerpots on the gravesites. The flower arrangements themselves will follow the traditional color of Valentines Day  red. 
Each arrangement will feature vibrant Bellisima Red English daisy in a beautiful environmentally friendly four-inch Ecoform pot. These cheerful seasonal blooms will be a symbol of friendship and affection for those who cannot be with us during this season of love, said representatives of the Davis Cemetery in a news release.
Since 1855, the Davis Cemetery District has provided a space to honor those who have passed. They now have one of Californias newest arboretums which features over 150 species of native and adapted plants in California. The plants are specifically suited to bear the climate of Yolo County. The cemetery also features Gallery 1855, an art gallery located on the grounds. 
According to the Davis Cemetery District and Arboretum website, the art gallery is one of the finest premier art galleries in Northern California, featuring monthly shows by international, national, regional and local artists.
This Valentines Day, make it a goal to spend time not only with that special someone, friends, family or whomever it might be, but also to remember those who have passed. "
86,"Davis Sunrise Rotary Club grant benefits Alzheimers patients at Yolo Hospice
After years of planning and working to obtain the necessary funding, Yolo Hospice received a $1,500 grant from the Davis Sunrise Rotary Club, enabling it to become a Music & Memory Care Certified Organization. This distinction allows Yolo Hospice to provide its patients with iPods and music. Studies have shown that patients with Alzheimers or dementia who listen to music are more likely to retain their memories.
In order to become a Music & Memory Care Certified Organization, a pre-certification webinar must be watched. The cost for one year of certification plus five iPods is $1,000. However, there are various other costs associated with the program other than the initial amount. Yolo Hospice asked its volunteers to look for funding through donors, and it ended up obtaining $1,500 from the Davis Sunrise Rotary Club.
The grant was wonderful and very generous, said Sheryl Mahoney, a marketing and communications specialist at Yolo Hospice. It does not cover the total cost of the program, however. We are a nonprofit, and this relies on philanthropic support.
Patients with Alzheimers or dementia are given a playlist, tailored to their individual personalities and based upon their past. Family members and friends are asked to determine the music style, since the genre of music doesnt affect patients ability to recall information; rather, the music should be something that each person can personally connect with on a deeper level. Each patient is then given two playlists, one calming and one upbeat, with 10 to 15 songs each from iTunes.
You figure out an individuals specific likes of their music, so their favorite song and the memories about the pieces of music, not necessarily the genre, said Nancy Johnston, the social work and spiritual care manager at Yolo Hospice. Its more about them connecting to their past in their music.
Although music isnt said to be a complete cure for Alzheimers or dementia, it does help bring some of the patients memories back for the time being.
[Patients are] encouraged to use iPods before bathing or bed, Johnston said. Medication is used less and music is used more, because music is more effective. Music is one of the major contributors to the quality of life. 
The Music & Memory Care Certified Organization has proven to be beneficial for the Yolo Hospice in aiding those with Alzheimers or dementia.
Alive Inside is a documentary by Dan Cohen, founder of Music & Memory, in which he tries to prove that, through music, people can regain some of their past memories and rediscover a part of themselves. This commended cinematic piece was shown at the 2014 Sundance Music Festival and won the Audience Award. 
There will be a local event in the spring showing this documentary, and all are encouraged to attend to learn more about the organization. Yolo Hospice is also looking for additional donations, whether they are in the form of new or gently used iPods or monetary contributions.
The program guides caregivers to create personalized playlists on iPods, said Elena Siegel, an associate professor at the UC Davis Betty Irene Moore School of Nursing. These personalized playlists can be used to help residents with Alzheimers, dementia and other cognitive and physical challenges reengage and reconnect with their world through familiar music-triggered memories."
87,"False alarm, false alarm
Jan. 22
Female was running around complex screaming.
Landscapers on site using leaf blowers for the past several mins.

Jan. 23
4th time alarm gone off since midnight.
Jan. 24
Dog running in traffic, husky puppy.
Jan. 25
On the top floor east side, grey Toyota Corolla taking up two spaces.
Jan. 26
3 hrs ago nonclient male came into business, was extremely agitated and left a note for the reporting party advising that he was possessed and was requiring that reporting party stop harassing him.
Jan. 28"
88,"Burrowing Owl Preservation Society sues City of Davis for improper assessment of environmental impact of Marriott hotel
The Burrowing Owl Preservation Society (BOPS), which aims to educate the public and support conservation efforts for our feathered friends, filed a lawsuit on Jan. 5 against the City of Davis for its insufficient report on the environmental implications of the Marriott Residence Inn building site.
A pair of burrowing owls lives on the vacant plot of land located on Fermi Place, near the Mace Boulevard and 2nd Street intersection in East Davis. The hotel, which plans to break ground this fall, will stand four-stories tall with 120 rooms, a meeting room and other amenities; however, the burrowing owls will no longer have a place to reside once the project beings.
In 2007, BOPS conducted a study that counted 63 breeding pairs of burrowing owls in Yolo County. In 2014, a census calculated that the estimated population declined to 15 breeding pairs. This sharp decline was attributed to a loss of habitats, a presence of predators and the California drought.
Burrowing owls were once extensively dispersed and were considered common birds but they have substantially dwindled down in the past half century. Now the population stands as a State Species of Special Concern and a Federal Bird of Conservation Concern.
Janet Foley, a professor of medicine and epidemiology at the School of Veterinary Medicine, works as a board member for the BOPS. Foley hopes to create a dialogue between conservationists, the City of Davis and the California Department of Fish and Wildlife (CDFW) to protect these owls, which can then be a model for better protection for birds statewide.
In Davis, virtually every spot that used to have owls has no owls, Foley said. 
This is in my backyard and I feel that this city presents itself as environmentally friendly. I think its really important in a university town that it is environmentally friendly and we take care of one of our most endangered resources.
Attorney Dan Mooney is representing BOPS for this case. BOPS alleges the council inaccurately concluded that the construction of the hotel would not have a substantial effect on the environment despite the abundant evidence that proves otherwise.
The complaint called into question the city councils decision to approve a Mitigated Negative Declaration (MND) for the Marriott property. An MND states that an initial study yielded no significant impact on the environment and that certain mitigations will reduce or eliminate the implications of the project; no further studies are needed. It assesses whether there may be a slight impact on the surrounding habitat but certain mitigations lessen or eradicate the aftereffects to less than significant, as required by the California Environmental Quality Act (CEQA).
We are not opposed to the hotel, said Catherine Portman, the BOPS president. Our issue is not with the developer or the builder. Our issue is with the City of Davis certifying an MND as an adequate level of CEQA review when there are burrowing owls on the property. They should not count eviction as mitigation.
BOPS decided to take legal action to call attention to the shortcomings of CEQA and of Davis leadership. The councils MND called for passive relocation of the fowl. BOPS strongly opposed this mitigation and explained that this method evicts the owls from their burrows, which the CDFW still allows and routinely practices.
Passive relocation involves installing one-way doors on the burrows, which provide owls with shelter year-round. Once the owls leave the burrow, they cannot return. The owls are often harmed through the repercussions of this forced removal and may not always find new places to burrow due to existing developments, much like in the case of the pair at Fermi Place. "
89,"The City of Davis hosts festivities in honor of Martin Luther King Jr. Day
On the morning of Martin Luther King Jr. Day, Jan. 16, the City of Davis gathered to celebrate the life and accomplishments of Dr. King. 
The 23rd annual Dr. Martin Luther King Jr. Celebration was presented by the Davis Human Relations Commision and the City of Davis.
According to its website, the Davis Human Relations Commission works to build a community where relationship among diverse peoples are valued by all, discrimination and hate are not tolerated, the voices of the voiceless are heard. 
Members from all over the Davis community were invited to gather for this annual event. The festivities began at the Varsity Theater located in downtown Davis, where Mayor Robb Davis welcomed the community to the event.
Its an honor for us as a city to be able to host people from Davis and beyond to this event, Davis said.
A keynote address was presented by Garth Lewis, an educator for the past 22 years and assistant superintendent of instructional services for the Yolo County Office of Education. 
In his keynote address, Lewis highlighted Dr. Kings beliefs in light of the bigotry seen in todays political environment.
Todays theme, [Justice Everywhere:] Speaking Up for JUSTICE in a Climate of Intolerance, is a very appropriate call to action, Lewis said. For, when freedom and justice are taken for granted, they are threatened. These basic human rights are vulnerable to be abused by those with power with impunity. In the words of Dr. King, Injustice anywhere, is a threat to justice everywhere.
Readings from the Parents of African American Children Davis Group and music by Marque Cass, Aleta Simone and the Davis Freedom Singers were also featured at the event. The event closed with the Davis Freedom Singers leading attendees in a symbolic Freedom March through downtown Davis, ending at the E Street Plaza. Participants performed classic peace and freedom songs throughout the concluding march.
The event was recorded by the Davis Media Access and video can be found on its website. "
90,"Local Whole Foods closes Feb. 12
After five years of providing business to students and locals of Davis, the Whole Foods Market on 1st Street closed on Sunday, Feb. 12. The Davis location was one of nine Whole Foods Markets across the country to permanently close.
The Whole Foods Market in Davis was located in a small shopping center along with several other eateries. The closure was part of an evaluation nationwide to determine which Whole Foods locations were underperforming. The local market faced competition from other supermarkets and stores in the city, such as Safeway, Trader Joes and the Davis Food Co-op. Whole Foods markets itself on its organic food that does not use artificial preservatives, colors, flavors, sweeteners or hydrogenated fats. Although this is a healthy benefit, many students could not afford the price tag associated with the products.
I think it affects students for the most part, said John Tuquero, a Verizon Wireless employee in the shopping center in which Whole Foods was located.
Despite the fact that not all students or residents could afford the prices at Whole Foods, the store was a common location for students to grab a bite to eat while studying. 
It saddens me that Whole Foods is closing because its not just a grocery store, but also an outing where people can connect together, said Forrest Pasturel, a first-year environmental policy and analysis major and former employee at the Whole Foods in Los Altos. It was at a very convenient spot, and would have been near my future apartment. 
However, others argue that people would go to Whole Foods but not actually purchase enough for the company to make a profit.
Thats why it closed down  people used [Whole Foods] as a hang out spot and not to purchase, said Mike Silva, another Verizon Wireless store employee. [Whole Foods closing] also provides more opportunity for local stores, like Trader Joes, to grow.
Davis students, employers and residents are wondering what will move into the place of the Whole Foods on the Fulcrum Property. 
Id love to have something in there that would generate sales tax revenue for the city  its something that we critically need, said Mayor Robb Davis.
And, while some are hoping for an Apple store or another big corporate company, others want to keep the small-town college vibe by supporting smaller, locally-owned businesses. No matter what the market is replaced with, the closing of Whole Foods will have a lasting impact on the Davis community as a whole."
91,"Demonstrations take place at hundreds of Planned Parenthood locations nationwide
Over 100 protesters both for and against Planned Parenthood rallied outside of the Woodland clinic on Feb. 11 during a protest that was initially held to urge Congress and President Trump to defund the organization due to Planned Parenthoods in-clinic abortion services. 
What was originally planned as a protest against Planned Parenthood quickly became an outnumbered protest featuring women, men and individuals of all ages, races and social backgrounds fighting for support of the organization and for womens rights. 
Over 80 individuals RSVPd to the Woodland Facebook event that hosted the counter protests in support of Planned Parenthood, but estimates made by ralliers in attendance were closer to 150 people, with some showing up as early as 8 a.m.
This event in Woodland was just one of five rallies held in the greater Sacramento region, with more than 225 rallies held at Planned Parenthood locations across 45 states nationwide. 
In Woodland, those who rallied in support of the organization carried banners and placards with slogans saying things such as I stand with Planned Parenthood and not your body, not your business. Many men and women also wore pink to show their solidarity with the national health care provider. 
I support the clinic because it provides services that are needed for womens health, said Paul Wilson, a rallier in attendance at the Woodland event. It provides mostly services for disease, reproductive and sexual health, and other complications. There are very few abortions, so it is incorrect to label it as an abortion clinic.
According to Planned Parenthoods 2014-2015 Annual Report, of the 9,455,582 total services that were offered during that year, 323,999 services, about 3% of the total provided, went toward abortions procedures.
A majority of the services that Planned Parenthood provides go toward birth control information and sexual health and disease tests and treatment. 
Yolanda Rodriquez, a rallier in support of funding for Planned Parenthood, was also in attendance with her 17-year old daughter, Holly Gainez, to speak out about the organization and the services it provides for her family and for the public. 
My two daughters go to the clinic, Rodriquez said. Their school is teaching them information about womens health, so they know that they have a safe place to go to. [Planned Parenthood] is here to help teach our children, to help protect them.
Those not in support of Planned Parenthood were also present at the Woodland event, though significantly fewer in number. Californians for Life, a social justice organization that fights to end abortion in the state, sponsored the protest Planned Parenthood event in Woodland. There was also a quiet praying vigil of three women and two children who stood by venue and repeated a short verse, Holy Mary, pray for our sinners.
At UC Davis Student Health and Counseling Services (SHCS), where health care providers offer a number of different medical, mental health and wellness services to students, abortion services are not provided.
Instead, their webpage suggests that if students are in need of abortion services, they can speak with a provider at SHCS where they may be referred to Sutter Davis Hospital, a provider in their associated insurance network, or to Planned Parenthood for further assistance. 
"
92,"California Redevelopment Agencies require Davis to sell Historic City Hall
The City of Davis must sell its Historic City Hall due to a statewide call for cities to dissolve any properties formerly funded by the Redevelopment Agency (RDA), which dissolved in February of 2012. The state hopes to return the property taxes to public agencies within Davis, such as the Davis Joint Unified School District or Yolo County services. 
California has distributed money to revitalizing broken-down cities, and, while some cities desperately needed the funds, cities like Davis used them for less dire projects. The city chose to invest in properties like the Historic City Hall, the U.S. Bicycling Hall of Fame, the Dresbach-Hunt Boyer Mansion and the parking garage above the Regal Holiday Cinema.
The state wanted [the money given to the cities by the RDA] back so we are complying with the states orders, said Brett Lee, Davis city councilmember. We are going to put it out on the open market and see who bids for it.
The state looked through all of the properties that stemmed from finances provided by the RDA and allowed for cities to retain ownership of properties that still serve public and/or government use. 
Davis Historic City Hall, however, now houses a restaurant and bar, which does not necessarily serve any type of public service. As a result, the state now requires that Davis put the property on the open market.
Davis has initiated the early stages of marketing for its historic city hall, said Stacey Winton, a City of Davis media and communications officer. Located at 226 F. St., the vacant building has not been used for city affairs but contains a restaurant, Bistro 33, in both the building and outside patio. 
Despite losing ownership of the property, the city will gain access to bond funds from the state once it is sold. Once the real estate has been dissolved, the city will also receive 21 percent of the proceeds, with 33.5 percent going to the Davis Joint Unified School District, 25 percent to the county Educational Revenue Augmentation Fund and the remainder to be dispersed among various organizations like the Yolo County Library and the Davis Cemetery District.
That process is now underway with the city looking to hire a commercial broker by this spring. While the new owner will gain rights to the property, the building is deemed a historical landmark. Therefore, no major structural changes can be made without first consulting the council and the citys Historic Resource Management Commission.
While there hasnt been an official appraisal of the property, the council estimates its value to be about $2.3 million. This number is too high for the City of Davis to consider investing in the property, according to city officials. 
Mayor Robb Davis noted that the city will not seek to obtain the building. Although the decision and process has been difficult for the city, there are limited options. The building will remain in the public sphere and will continue to be valued as a historical space and part of the citys history. "
